Average annual precipitation and land area ,,
,mm/year,thousand km^2
country,precip
Afghanistan,327.0
Albania,1485.0
Algeria,89.0
American Samoa,
Andorra,
Angola,1010.0
Antigua and Barbuda,1030.0
Argentina,591.0
Armenia,562.0
Aruba,
Australia,534.0
Austria,1110.0
Azerbaijan,447.0
"Bahamas, The",1292.0
Bahrain,83.0
Bangladesh,2666.0
Barbados,1422.0
Belarus,618.0
Belgium,847.0
Belize,1705.0
Benin,1039.0
Bermuda,
Bhutan,2200.0
Bolivia,1146.0
Bosnia and Herzegovina,1028.0
Botswana,416.0
Brazil,1782.0
Brunei Darussalam,2722.0
Bulgaria,608.0
Burkina Faso,748.0
Burundi,1274.0
Cambodia,1904.0
Cameroon,1604.0
Canada,537.0
Cape Verde,228.0
Cayman Islands,
Central African Republic,1343.0
Chad,322.0
Channel Islands,
Chile,1522.0
China,645.0
"Hong Kong SAR, China",
"Macao SAR, China",
Colombia,2612.0
Comoros,900.0
"Congo, Dem. Rep.",1543.0
"Congo, Rep.",1646.0
Costa Rica,2926.0
Cote d'Ivoire,1348.0
Croatia,1113.0
Cuba,1335.0
Curacao,
Cyprus,498.0
Czech Republic,677.0
Denmark,703.0
Djibouti,220.0
Dominica,2083.0
Dominican Republic,1410.0
Ecuador,2087.0
"Egypt, Arab Rep.",51.0
El Salvador,1724.0
Equatorial Guinea,2156.0
Eritrea,384.0
Estonia,626.0
Ethiopia,848.0
Faeroe Islands,
Fiji,2592.0
Finland,536.0
France,867.0
French Polynesia,
Gabon,1831.0
"Gambia, The",836.0
Georgia,1026.0
Germany,700.0
Ghana,1187.0
Greece,652.0
Greenland,
Grenada,2350.0
Guam,
Guatemala,1996.0
Guinea,1651.0
Guinea-Bissau,1577.0
Guyana,2387.0
Haiti,1440.0
Honduras,1976.0
Hungary,589.0
Iceland,1940.0
India,1083.0
Indonesia,2702.0
"Iran, Islamic Rep.",228.0
Iraq,216.0
Ireland,1118.0
Isle of Man,
Israel,435.0
Italy,832.0
Jamaica,2051.0
Japan,1668.0
Jordan,111.0
Kazakhstan,250.0
Kenya,630.0
Kiribati,
"Korea, Dem. Rep.",1054.0
"Korea, Rep.",1274.0
Kosovo,
Kuwait,121.0
Kyrgyz Republic,533.0
Lao PDR,1834.0
Latvia,641.0
Lebanon,661.0
Lesotho,788.0
Liberia,2391.0
Libya,56.0
Liechtenstein,
Lithuania,656.0
Luxembourg,934.0
"Macedonia, FYR",619.0
Madagascar,1513.0
Malawi,1181.0
Malaysia,2875.0
Maldives,1972.0
Mali,282.0
Malta,560.0
Marshall Islands,
Mauritania,92.0
Mauritius,2041.0
Mexico,752.0
"Micronesia, Fed. Sts.",
Moldova,450.0
Monaco,
Mongolia,241.0
Montenegro,
Morocco,346.0
Mozambique,1032.0
Myanmar,2091.0
Namibia,285.0
Nepal,1500.0
Netherlands,778.0
New Caledonia,
New Zealand,1732.0
Nicaragua,2391.0
Niger,151.0
Nigeria,1150.0
Northern Mariana Islands,
Norway,1414.0
Oman,125.0
Pakistan,494.0
Palau,
Panama,2692.0
Papua New Guinea,3142.0
Paraguay,1130.0
Peru,1738.0
Philippines,2348.0
Poland,600.0
Portugal,854.0
Puerto Rico,2054.0
Qatar,74.0
Romania,637.0
Russian Federation,460.0
Rwanda,1212.0
Samoa,
San Marino,
Sao Tome and Principe,3200.0
Saudi Arabia,59.0
Senegal,686.0
Serbia,
Seychelles,2330.0
Sierra Leone,2526.0
Singapore,2497.0
Sint Maarten (Dutch part),
Slovak Republic,824.0
Slovenia,1162.0
Solomon Islands,3028.0
Somalia,282.0
South Africa,495.0
South Sudan,
Spain,636.0
Sri Lanka,1712.0
St. Kitts and Nevis,1427.0
St. Lucia,2301.0
St. Martin (French part),
St. Vincent and the Grenadines,1583.0
Sudan,416.0
Suriname,2331.0
Swaziland,788.0
Sweden,624.0
Switzerland,1537.0
Syrian Arab Republic,252.0
Tajikistan,691.0
Tanzania,1071.0
Thailand,1622.0
Timor-Leste,1500.0
Togo,1168.0
Tonga,
Trinidad and Tobago,2200.0
Tunisia,207.0
Turkey,593.0
Turkmenistan,161.0
Turks and Caicos Islands,
Tuvalu,
Uganda,1180.0
Ukraine,1875.0
United Arab Emirates,78.0
United Kingdom,1220.0
United States,715.0
Uruguay,1265.0
Uzbekistan,206.0
Vanuatu,
"Venezuela, RB",1875.0
Vietnam,1821.0
Virgin Islands (U.S.),
West Bank and Gaza,402.0
"Yemen, Rep.",167.0
Zambia,1020.0
Zimbabwe,657.0
